"","anon_id","assignment_name","score","course_id","course_name"
"340","gay571","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"341","eva137","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"342","rby447","Film2Activity:TheHunters",38,"1244932","ANTH-125G F19"
"343","tin485","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"344","les342","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"345","ett844","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"346","agi352","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"347","lez785","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"348","vel948","Film2Activity:TheHunters",0,"1244932","ANTH-125G F19"
"349","ard942","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"350","lan087","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"351","rza879","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"352","eed836","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
"353","uez233","Film2Activity:TheHunters",0,"1244932","ANTH-125G F19"
"354","val419","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"355","ier722","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"356","man231","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"357","onn915","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"358","llo059","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"359","ers335","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"360","rez195","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"361","nte084","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"362","rez175","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"363","dom170","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"364","sco207","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
"365","son736","Film3Activity:TheAxFight",40,"1244932","ANTH-125G F19"
